"ID"	"Length"	"Age"	"InR"	"RCra"	"RCXra"	"Beds"	"ACen"	"Nurse"	"AFaS"	"MedAf"	"Region"
"30"	30	9.89	50.5	4.9	17.7	103.6	167	113	106	37.1	"No"	"NC"
"31"	31	11.03	49.9	5	19.7	102.1	318	270	335	57.1	"No"	"NE"
"32"	32	9.84	53	5.2	17.7	72.6	210	200	239	54.3	"No"	"NC"
"33"	33	11.77	54.1	5.3	17.3	56	196	164	165	34.3	"No"	"NE"
"34"	34	13.59	54	6.1	24.2	111.7	312	258	169	54.3	"No"	"NE"
"35"	35	9.74	54.4	6.3	11.4	76.1	221	170	172	54.3	"No"	"NC"
"36"	36	10.33	55.8	5	21.2	104.3	266	181	149	54.3	"No"	"NE"
"37"	37	9.97	58.2	2.8	16.5	76.5	90	69	42	34.3	"No"	"NC"
"38"	38	7.84	49.1	4.6	7.1	87.9	60	50	45	34.3	"No"	"S"
"39"	39	10.47	53.2	4.1	5.7	69.1	196	168	153	54.3	"No"	"NC"
"40"	40	8.16	60.9	1.3	1.9	58	73	49	21	14.3	"No"	"S"
"41"	41	8.48	51.1	3.7	12.1	92.8	166	145	118	34.3	"No"	"S"
"42"	42	10.72	53.8	4.7	23.2	94.1	113	90	107	34.3	"No"	"S"
"43"	43	11.2	45	3	7	78.9	130	95	56	34.3	"No"	"S"
"44"	44	10.12	51.7	5.6	14.9	79.1	362	313	264	54.3	"Yes"	"S"
"45"	45	8.37	50.7	5.5	15.1	84.8	115	96	88	34.3	"No"	"NC"
"46"	46	10.16	54.2	4.6	8.4	51.5	831	581	629	74.3	"Yes"	"W"
"47"	47	19.56	59.9	6.5	17.2	113.7	306	273	172	51.4	"No"	"NE"
"48"	48	10.9	57.2	5.5	10.6	71.9	593	446	211	51.4	"No"	"NC"
"49"	49	7.67	51.7	1.8	2.5	40.4	106	93	35	11.4	"No"	"S"
"50"	50	8.88	51.5	4.2	10.1	86.9	305	238	197	51.4	"No"	"S"
"51"	51	11.48	57.6	5.6	20.3	82	252	207	251	51.4	"No"	"NE"
"52"	52	9.23	51.6	4.3	11.6	42.6	620	413	420	71.4	"No"	"NC"
"53"	53	11.41	61.1	7.6	16.6	97.9	535	330	273	51.4	"No"	"S"
"54"	54	12.07	43.7	7.8	52.4	105.3	157	115	76	31.4	"No"	"NC"
"55"	55	8.63	54	3.1	8.4	56.2	76	39	44	31.4	"No"	"NE"
"56"	56	11.15	56.5	3.9	7.7	73.9	281	217	199	51.4	"No"	"NE"
"57"	57	7.14	59	3.7	2.6	75.8	70	37	35	31.4	"No"	"W"
"58"	58	7.65	47.1	4.3	16.4	65.7	318	265	314	51.4	"No"	"W"
"59"	59	10.73	50.6	3.9	19.3	101	445	374	345	51.4	"Yes"	"NC"
"60"	60	11.46	56.9	4.5	15.6	97.7	191	153	132	31.4	"No"	"S"
"61"	61	10.42	58	3.4	8	59	119	67	64	31.4	"No"	"NE"
"62"	62	11.18	51	5.7	18.8	55.9	595	546	392	68.6	"Yes"	"NC"
"63"	63	7.93	64.1	5.4	7.5	98.1	68	42	49	28.6	"No"	"W"
"64"	64	9.66	52.1	4.4	9.9	98.3	83	66	95	28.6	"No"	"NC"
"65"	65	7.78	45.5	5	20.9	71.6	489	391	329	48.6	"No"	"S"
"66"	66	9.42	50.6	4.3	24.8	62.8	508	421	528	48.6	"No"	"NE"
"67"	67	10.02	49.5	4.4	8.3	93	265	191	202	48.6	"No"	"NC"
"68"	68	8.58	55	3.7	7.4	95.9	304	248	218	48.6	"No"	"S"
"69"	69	9.61	52.4	4.5	6.9	87.2	487	404	220	48.6	"No"	"S"
"70"	70	8.03	54.2	3.5	24.3	87.3	97	65	55	28.6	"No"	"NE"
"71"	71	7.39	51	4.2	14.6	88.4	72	38	67	28.6	"No"	"NC"
"72"	72	7.08	52	2	12.3	56.4	87	52	57	28.6	"No"	"S"
"73"	73	9.53	51.5	5.2	15	65.7	298	241	193	48.6	"No"	"S"
"74"	74	10.05	52	4.5	36.7	87.5	184	144	151	68.6	"Yes"	"NE"
"75"	75	8.45	38.8	3.4	12.9	85	235	143	124	48.6	"No"	"NC"
"76"	76	6.7	48.6	4.5	13	80.8	76	51	79	28.6	"No"	"W"
"77"	77	8.9	49.7	2.9	12.7	86.9	52	37	35	28.6	"No"	"NE"
"78"	78	10.23	53.2	4.9	9.9	77.9	752	595	446	68.6	"Yes"	"NC"
"79"	79	8.88	55.8	4.4	14.1	76.8	237	165	182	48.6	"No"	"NC"
"80"	80	10.3	59.6	5.1	27.8	88.9	175	113	73	45.7	"No"	"NC"
"81"	81	10.79	44.2	2.9	2.6	56.6	461	320	196	65.7	"Yes"	"NC"
"82"	82	7.94	49.5	3.5	6.2	92.3	195	139	116	45.7	"No"	"NC"
"83"	83	7.63	52.1	5.5	11.6	61.1	197	109	110	45.7	"No"	"W"
"84"	84	8.77	54.5	4.7	5.2	47	143	85	87	25.7	"No"	"W"
"85"	85	8.09	56.9	1.7	7.6	56.9	92	61	61	45.7	"No"	"S"
"86"	86	9.05	51.2	4.1	20.5	79.8	195	127	112	45.7	"No"	"S"
"87"	87	7.91	52.8	2.9	11.9	79.5	477	349	188	65.7	"No"	"S"
"88"	88	10.39	54.6	4.3	14	88.3	353	223	200	65.7	"No"	"NC"
"89"	89	9.36	54.1	4.8	18.3	90.6	165	127	158	45.7	"No"	"NE"
"90"	90	11.41	50.4	5.8	23.8	73	424	359	335	45.7	"Yes"	"S"
"91"	91	8.86	51.3	2.9	9.5	87.5	100	65	53	25.7	"No"	"S"
"92"	92	8.93	56	2	6.2	72.5	95	59	56	25.7	"No"	"S"
"93"	93	8.92	53.9	1.3	2.2	79.5	56	40	14	5.7	"No"	"NC"
"94"	94	8.15	54.9	5.3	12.3	79.8	99	55	71	25.7	"No"	"W"
"95"	95	9.77	50.2	5.3	15.7	89.7	154	123	148	25.7	"No"	"NC"
"96"	96	8.54	56.1	2.5	27	82.5	98	57	75	45.7	"No"	"NE"
"97"	97	8.66	52.8	3.8	6.8	69.5	246	178	177	45.7	"No"	"S"
"98"	98	12.01	52.8	4.8	10.8	96.9	298	237	115	45.7	"No"	"NE"
"99"	99	7.95	51.8	2.3	4.6	54.9	163	128	93	42.9	"No"	"S"
"100"	100	10.15	51.9	6.2	16.4	59.2	568	452	371	62.9	"Yes"	"S"
"101"	101	9.76	53.2	2.6	6.9	80.1	64	47	55	22.9	"No"	"W"
"102"	102	9.89	45.2	4.3	11.8	108.7	190	141	112	42.9	"No"	"NE"
"103"	103	7.14	57.6	2.7	13.1	92.6	92	40	50	22.9	"No"	"W"
"104"	104	13.95	65.9	6.6	15.6	133.5	356	308	182	62.9	"No"	"NE"
"105"	105	9.44	52.5	4.5	10.9	58.5	297	230	263	42.9	"No"	"S"
"106"	106	10.8	63.9	2.9	1.6	57.4	130	69	62	22.9	"No"	"S"
"107"	107	7.14	51.7	1.4	4.1	45.7	115	90	19	22.9	"No"	"S"
"108"	108	8.02	55	2.1	3.8	46.5	91	44	32	22.9	"No"	"NC"
"109"	109	11.8	53.8	5.7	9.1	116.9	571	441	469	62.9	"Yes"	"NC"
"110"	110	9.5	49.3	5.8	42	70.9	98	68	46	22.9	"No"	"S"
"111"	111	7.7	56.9	4.4	12.2	67.9	129	85	136	62.9	"No"	"W"
"112"	112	17.94	56.2	5.9	26.4	91.8	835	791	407	62.9	"Yes"	"NE"
"113"	113	9.41	59.5	3.1	20.6	91.7	29	20	22	22.9	"No"	"S"
